region,center_city_ua,center_city_en,region_alt,region_id
АР Крим,Сімферополь,Simferopol,Крим,1
Вінницька,Вінниця,Vinnytsia,Вінниччина,2
Волинська,Луцьк,Lutsk,Волинь,3
Дніпропетровська,Дніпро,Dnipro,Дніпропетровщина,4
Донецька,Донецьк,Donetsk,Донеччина,5
Житомирська,Житомир,Zhytomyr,Житомирщина,6
Закарпатська,Ужгород,Uzhgorod,Закарпаття,7
Запорізька,Запоріжжя,Zaporozhye,Запоріжжя,8
Івано-Франківська,Івано-Франківськ,Ivano-Frankivsk,Івано-Франківщина,9
Київська,Київ,Kyiv,Київщина,10
Кіровоградська,Кропивницький,Kropyvnytskyi,Кіровоградщина,11
Луганська,Луганськ,Luhansk,Луганщина,12
Львівська,Львів,Lviv,Львівщина,13
Миколаївська,Миколаїв,Mykolaiv,Миколаївщина,14
Одеська,Одеса,Odesa,Одещина,15
Полтавська,Полтава,Poltava,Полтавщина,16
Рівненська,Рівне,Rivne,Рівненщина,17
Сумська,Суми,Sumy,Сумщина,18
Тернопільська,Тернопіль,Ternopil,Тернопільщина,19
Харківська,Харків,Kharkiv,Харківщина,20
Херсонська,Херсон,Kherson,Херсонщина,21
Хмельницька,Хмельницький,Khmelnytskyi,Хмельниччина,22
Черкаська,Черкаси,Cherkasy,Черкащина,23
Чернівецька,Чернівці,Chernivtsi,Буковина,24
Чернігівська,Чернігів,Chernihiv,Чернігівщина,25
